strain	Albendazole_cv.EXT	Albendazole_cv.TOF	Albendazole_f.ad	Albendazole_f.L1	Albendazole_f.L2L3	Albendazole_f.L4	Albendazole_iqr.EXT	Albendazole_iqr.TOF	Albendazole_mean.EXT	Albendazole_mean.norm.EXT	Albendazole_mean.TOF	Albendazole_median.EXT	Albendazole_median.norm.EXT	Albendazole_median.TOF	Albendazole_n	Albendazole_norm.n	Albendazole_q10.EXT	Albendazole_q10.norm.EXT	Albendazole_q10.TOF	Albendazole_q25.EXT	Albendazole_q25.norm.EXT	Albendazole_q25.TOF	Albendazole_q75.EXT	Albendazole_q75.norm.EXT	Albendazole_q75.TOF	Albendazole_q90.EXT	Albendazole_q90.norm.EXT	Albendazole_q90.TOF	Albendazole_var.EXT	Albendazole_var.TOF
AB1	-0.0268887990215037	0.0168081946145387	-0.0213537398405073	0.0601096442552051	-0.0206190281461158	-0.0107790965321688	65.4867094662988	13.8876271226257	9.03787549922804	-0.156049663259505	1.37728775416751	-42.1944260010555	-0.118900150665503	-14.6642707101009	-116.596845998357	-28.2046107710679	-26.6688618392728	-0.0878882462371529	-12.6505784806748	-64.9450979755705	-0.200493128116505	-19.2393895161867	105.938949075817	-0.113622630603771	21.2473608236901	35.0468594158156	-0.0767466304870627	-14.3818523126207	-30020.3580418137	-141.935667100909
BRC20067	0.211802940166239	0.166538663058037	0.0445599588934597	0.0443751043682165	-0.0219726783626675	-0.0928197178197066	140.154661781448	26.6854474696162	-6.841451630342	-0.227160439708717	22.2271502504565	-61.8842999917047	-0.330862726075048	-6.16515035450119	160.955308519396	52.5233856712829	-41.2943149851692	-0.157258255773528	-12.7953958566809	-52.7736189272124	-0.349235400719951	-14.7411903361682	67.3024859056576	-0.227968363104561	5.76558924459948	266.481100376661	-0.17560015667362	120.732511607697	109323.079364298	12370.3830954107
BRC20263	-0.00165242151412818	-0.021056670635015	-0.0406407498901709	-0.0164594045959149	0.0331423818207298	0.0216474268991909	-170.881756064444	-38.987017417862	-64.9061303559172	0.00176124247449154	-17.0846964065675	4.74544206210722	-0.0589038306709258	-9.06501239123465	-0.949018726253976	-1.73957779144472	4.15905429124442	0.12866113096861	1.96063916904106	8.32068268409413	0.00837650753480947	-0.746005273416598	-183.075883492348	-0.0725277567488188	-41.2861532362734	-234.148534731868	-0.0679919290555613	-47.7311380260603	-63802.5412300548	-5004.57744080846
CB4852	-0.0793770594022349	-0.0576912918449646	0.06260804538979	-0.0267329343253315	-0.0220174514894536	-0.0142303320813674	-57.0235747155585	-28.0591374904699	20.2720114991855	0.123126549204965	5.89036432070732	80.53934800326	0.163886218805028	12.0394997405739	-20.5863188738189	-7.24502805201124	-3.58448524110566	0.14789590363125	2.291509225394	143.844810800677	0.264258773408838	36.7218717589469	54.5974138244603	0.0971969245184981	3.74431183903694	-52.1119792148276	-0.0469005909270534	-11.4276052568318	-84925.5448973943	-3668.63237614798
CB4856	-0.113555771263586	-0.0268076295660688	-0.0499496482926721	-0.0820894798442155	0.0361817661059311	0.0665483420281518	-176.986990528226	-50.4100237989582	-56.9338441547022	-0.0343797890151453	-8.65448072029366	1.01780017497131	-0.0783590022678087	2.01567967676653	10.078480796942	4.18257087917476	40.7746058987763	0.108404169010117	18.7095823187437	54.361727798877	0.173426901159035	19.8352457855712	-150.432547503526	-0.145541902951509	-32.7898483030857	-200.511347225237	-0.105855468898522	-46.6608766289012	-55138.2633169595	-4171.12015255969
CB4932	-0.0695304660370236	-0.0398758891440422	-0.0236319554614741	-0.00467157856016107	0.00533393285239894	0.0325834838011301	-26.7295414457392	-2.59229897202599	-17.669859394979	-0.0663593605322676	-0.764167102912805	-15.0063578173977	-0.00495974286217364	4.43855835170996	14.723358435242	4.90360141639281	-4.58791813726022	-0.0287841550054633	0.605711915711146	16.2215354342297	0.0382238101607128	4.75119242644935	-37.5202829320306	-0.144319713019928	-2.85468211666069	-67.81649370897	-0.221485036348082	-10.7052451902403	-16320.633534075	-871.143657532304
CX11262	0.06741663495856	0.0483738442009298	-0.0857451582739291	0.00668226869294909	0.0802418120962879	-0.000916960184967262	-3.61520458943235	20.6128887406546	-120.315624330619	-0.202141331133964	-24.8186908397938	-153.050465907476	-0.124735324469298	-30.6273975150735	-1.76045088654397	-1.71225283608534	-1.40069049061564	-0.0658273195232681	-1.06257148019118	-63.6097275112801	-0.146923391742335	-24.4143616503016	-115.30691860666	-0.199170589310438	-26.1309656559332	-188.409003089987	-0.151601535234633	-34.5531708038862	-12835.4088529108	-763.895897058391
CX11264	-0.0943420518300704	-0.0621152242509051	-0.0771938535730294	-0.0375113664727844	0.0430551567327291	0.0797226587090576	-114.25805261025	-31.2023563582228	-67.2402210288556	-0.104665356494476	-22.4303119751	-44.3907497943075	-0.153756115748659	-8.49211794154631	-48.6373959021293	-21.1289731518912	19.3281136794971	0.0432856875506034	12.0906176648724	1.49984850376764	0.085227491994784	-12.2248171452861	-103.181206303799	-0.113907560320575	-20.6122650175747	-218.212172720513	-0.279863111891565	-39.7705566400325	-88851.915873197	-3541.17599525599
CX11271	0.198781200846438	0.150212604919736	0.129446692981298	0.0501026218474911	-0.0540420908698121	-0.108050267837795	313.777655208271	101.641128859016	87.2781518290729	-0.285479686807823	40.3045071346703	-31.3252240969765	-0.421692820974536	11.1499317989131	67.1747635428079	21.2641255225737	-59.1287005549406	-0.24919291001218	-15.6051974359937	-90.1158168137534	-0.409375522704438	-12.3064427693883	231.731474853776	-0.218826100174428	90.9057592077307	440.315970000508	-0.0834015299766419	145.119797542548	205863.451215553	15787.9433353206
CX11276	-0.0422628073595304	-0.0643866164894031	-0.0725464219841608	-0.0201764091430036	0.0542514613995333	0.0450025599953147	-110.436588728865	-35.734774504039	-53.9536845414335	0.076608000412207	-22.0342041376025	-1.84130551664975	0.00807335754561396	-18.6003220378022	50.4419322112005	17.8653571767285	-7.73324127553621	-0.0500858274337143	5.63997803486713	2.65049449413212	-0.0407862295510195	2.56454966444786	-119.640071132574	0.139281895022744	-33.175997463967	-137.326123905584	0.193651500375438	-35.9533791528382	-67079.792124565	-5076.08786584855
