isotype	I	II	III	IV	V	X
ECA1891	0	0	0	0	0	0
ECA1901	0.249844743077254	0	0	0	0.168260725255388	0
ECA191	0	0	0	0	0	0
ECA1919	0	0	0	0	0	0
ECA1925	0	0	0	0	0	0
ECA1937	0	0	0	0	0	0
ECA1939	0	0	0	0	0	0
ECA1943	0	0	0	0	0	0
ECA1969	0	0	0	0	0	0
ECA1977	0	0	0	0	0	0
ECA1997	0	0	0	0	0	0
ECA2041	0	0	0	0	0	0
ECA2043	0	0	0	0	0	0
ECA2073	0	0	0	0	0	0
ECA2081	0	0	0	0	0	0
ECA2091	0	0	0	0	0	0
ECA2109	0	0	0	0	0	0
ECA2111	0.158348654383588	0	0	0	0.310535423408891	0
ECA2119	0	0	0	0	0	0
ECA2151	0.249844743077254	0	0	0	0	0
ECA2155	0	0	0	0	0	0
ECA2159	0	0	0	0	0	0
ECA2183	0	0	0	0	0	0
ECA2187	0	0	0	0	0	0
ECA2191	0	0	0	0	0	0
ECA2195	0	0	0	0	0	0
ECA2199	0	0	0	0	0	0
ECA2251	0	0	0	0	0	0
ECA2281	0	0	0	0	0	0
ECA2291	0	0	0	0	0	0
ECA2332	0	0	0	0	0.168260725255388	0
ECA2334	0	0	0	0	0	0
ECA2336	0	0	0	0	0	0
ECA2344	0.158348654383588	0	0	0	0.168260725255388	0
ECA2350	0.158348654383588	0	0	0	0.168260725255388	0
ECA2360	0	0	0	0	0	0
ECA2367	0	0	0	0	0	0
ECA2377	0	0	0	0	0	0
ECA2417	0	0	0	0	0	0
ECA2437	0	0	0	0	0	0
ECA2443	0	0	0	0	0	0
ECA2452	0	0	0	0	0	0
ECA2467	0	0	0	0	0	0
ECA2473	0	0	0	0	0	0
ECA2475	0	0	0	0	0	0
ECA2481	0	0	0	0	0	0
ECA2482	0	0	0	0	0	0
ECA2489	0	0	0	0	0	0
ECA2522	0.432757076891617	0.32434115172144	0.0782929554111545	0.466902793247891	0.447935556269724	0.521720784673546
ECA2523	0	0	0	0	0	0
ECA2527	0.249844743077254	0.32434115172144	0.0782929554111545	0.289234198920387	0.447935556269724	0.586006367462131
ECA2529	0.432757076891617	0.32434115172144	0.111739489487952	0.718408954082898	0.822483941991447	0.521720784673546
ECA2533	0.230749850616856	0.32434115172144	0.0782929554111545	0.103721696891529	0.64813982860282	0.51006321720491
ECA2536	0.432757076891617	0.32434115172144	0.226343175235511	0.718408954082898	0.80672982744855	0.521720784673546
ECA2546	0.183848952685283	0	0.187539400616251	0.718408954082898	0.646780327975635	0.737296219583363
ECA2549	0.49930752458973	0.242126165543372	0.099974812858957	0.144471582340063	0.857016359507811	0.890323237532269
ECA2551	0.7694071153433	0.363680230791219	0	0.225248773631371	0.671278495750992	0.465887635718551
ECA2554	0.863329904418018	0.242126165543372	0.196591998446062	0.144471582340063	0.915183924126598	0.741608131485642
ECA2555	0.534640396294913	0.320398171667922	0	0.321311641604177	0.630337003849324	0.564128423549965
ECA2559	0.489839590080574	0	0.226343175235511	0.624083824268869	0.901689401642512	0.521720784673546
ECA2560	0.784853030415357	0.421860246920788	0.183596998722506	0.669887476104956	0.807229516370284	0.899472243125963
ECA2561	0.93923366497066	0	0.227731612728838	0.301517594527343	0.580380516490501	0.980197088866519
ECA2565	0.840764305422972	0	0.16612279799006	0.893548062099281	0.975033370867077	1
ECA2568	0.736849322169215	0	0	0.673422051767937	0.794862874114121	0.552779640384876
ECA2581	0.661805190841073	0	0.323949197448756	0.219047690425614	0	0.399687002947907
ECA2583	0.183848952685283	0	0.184483229196255	0.24833396199094	0.676182803861681	0.539395975435949
ECA2584	0.39286648448881	0.16055297155018	0.182443465692101	0.185278393101956	0.687910191058092	0.705608275148274
ECA2594	0.677068720095579	0	0.168859230209592	0.450374085125828	0.852506562817454	1
ECA2595	0.690848605767281	0	0.375716305031782	0.0798252513023739	0.580380516490501	0.9162566578086
ECA2601	0.708822900649972	0	0.513123787631154	0.301517594527343	0.394441780948216	0.980197088866519
ECA2602	0.0690729205444947	0	0	0.881501349930886	0.762997204366686	0.838289355287965
ECA2603	0.736849322169215	0	0	0.816044276565942	0.794862874114121	0.552779640384876
ECA2607	0.691786485675512	0	0	0.184059047168658	0.901912736200362	0.612323396329171
ECA2609	0.0690729205444947	0.0819557165356104	0.226343175235511	0.524211022308258	0.725397349201278	0.492407170165789
ECA2612	0.506860673496135	0	0.174969525314539	0.288717980726977	0.680725696022652	0.703253145415383
ECA2615	0.901392258199912	0	0.214310537849311	0.844791330967033	0.791609891091475	0.668271238210375
ECA2641	0.738686719903237	0	0	0.560159214666387	0.658016407881799	0.954597074319548
ECA2648	0.901392258199912	0.0867266445081997	0	0.743144862107153	0.859247022964233	0.59886846477617
ECA2656	0.334889763104849	0	0.182443465692101	0.673725500875534	0.886293110921553	0.749094739067663
ECA2659	0.548603464228785	0	0.511710192250142	0.301517594527343	0.564579704286462	0.923277773617736
ECA2660	0.548603464228785	0	0.590232347719452	0.301517594527343	0.612485517738167	0.923277773617736
ECA2672	0.7694071153433	0.363680230791219	0	0.225248773631371	0.630337003849324	0.465887635718551
ECA2676	0.226670726764342	0.0821750582603956	0.0963904720643597	0.57642154664875	0.717579490195646	0.714047777086194
ECA347	0	0	0	0	0	0
ECA348	0.249844743077254	0	0	0.457849780448506	0.293792372140606	0.0617983670121685
ECA349	0.432757076891617	0	0.226343175235511	0.566295992292027	0.81816170226625	0.196327635280335
ECA36	0	0	0	0	0	0
ECA363	0	0	0	0	0	0
ECA369	0	0	0	0	0	0
ECA372	0.249844743077254	0	0	0	0.168260725255388	0.119218355566594
ECA396	0	0	0	0	0	0
ECA592	0.270675088360553	0.0756677240582919	0	0	0.55723040242847	0.185047633988275
ECA593	0.0956059420343625	0	0	0.154654862969328	0	0
ECA594	0	0	0.226343175235511	0.105181330579712	0.165007167492297	0.344257509845464
ECA640	0.475962007202381	0.32434115172144	0.097947262631673	0.460052532624355	0.379137161328206	0.525896657551092
ECA701	0	0	0	0	0	0
ECA703	0	0	0	0	0	0
ECA705	0.201678228277089	0	0	0	0.217060451678937	0
ECA706	0	0	0	0	0	0
ECA710	0.249844743077254	0	0	0	0.0820914230046568	0
ECA712	0	0.0728461293909337	0	0	0	0
ECA722	0	0	0	0	0	0
ECA723	0	0	0	0	0	0
ECA724	0	0	0	0	0	0
ECA730	0	0	0	0	0	0
ECA732	0	0	0	0	0	0
ECA733	0	0	0	0	0	0
ECA738	0.201678228277089	0	0	0	0	0
ECA740	0	0	0	0	0	0
ECA741	0	0	0	0	0	0
ECA742	0	0	0	0	0	0
ECA743	0	0	0	0	0.251932923958486	0
ECA744	0	0	0	0	0	0
ECA745	0	0	0	0	0	0
ECA746	0	0	0	0	0	0
ECA760	0.249844743077254	0	0	0	0.168260725255388	0
ECA768	0.201678228277089	0	0	0	0	0
ECA777	0.249844743077254	0	0	0	0.168260725255388	0
ECA778	0.249844743077254	0	0	0	0.0820914230046568	0
ECA807	0.201678228277089	0	0	0	0	0
ECA812	0.201678228277089	0	0	0	0	0
ECA923	0	0	0	0.532441450026755	0.534932676341145	0.267130385245125
ECA928	0	0	0.215337696374134	0.469319058257366	0.223096854780811	0
ECA930	0.432757076891617	0	0	0.543517170819936	0.761101087744187	0.395518753676978
ED3005	0.467134546906971	0	0	0.543517170819936	0.761101087744187	0.395518753676978
ED3011	0.432757076891617	0	0.818524015982865	0.421610210581895	0.975033370867077	0.662471254767719
ED3012	0.555751355565333	0.0743542264780873	0.114857531759639	0.803937206401975	0.900134201893866	0.670492135995655
ED3017	0.785550384048913	0.14307868202002	0	0.715532366388709	0.778923118407547	0.46978284693029
ED3040	0.188096723685686	0.85939455792955	0.0767383588456742	0.536129695430122	0.680498242491615	0.764507469270936
ED3046	0.367052586118727	0.213257495599256	0.693011533721369	0.106969929646606	0.670755865106502	0.348312421498029
ED3048	1	1	0.929715078145957	1	0.975033370867077	1
ED3049	0.367052586118727	0.213257495599256	0.693011533721369	0.106969929646606	0.670755865106502	0.348312421498029
ED3052	0.899203827500449	0.722546398367642	0.786338374759501	0.12106458002306	0.757823342987376	0.444217675089114
ED3073	0.325622399898692	0.579357227290195	0.138751235588699	0.893548062099281	0.85053994470039	0.868866737888094
ED3077	0.901392258199912	0.88322851382203	0.191893470387265	0.893548062099281	0.605896118538301	1
EG4347	0.270462703129052	0.14307868202002	0.118915996350351	0.685941558699753	0.901912736200362	0.688925847380817
EG4349	0.322913094418974	0.268351410970791	0.268617714487813	0.268263600015172	0.402867954819654	0.679701396317199
EG4724	0.757410535541972	0.14307868202002	0	0.245859741863442	0.421992922071422	0.502223664872126
EG4725	0.275456543625486	0.561263400480091	0	0.106451937900719	0.305519903022129	0.525045411283412
EG4946	0.571463747732539	0	0.200354784723077	0.718408954082898	0.960193524686778	0.654942632642567
GXW1	0.259304912251382	0.266068319547183	0.709613838125375	0.450374085125828	0.975033370867077	0.727788678594053
JR4305	0.272801064527877	0	0	0.154654862969328	0.231368327682517	0.140187960868197
JT11398	0.198486675581094	0.14307868202002	0	0.629205328918751	0.85773243820702	0.424944745793379
JU1088	0.274123295334739	0.73412614904856	0.424712242032921	0.893548062099281	0.968800502323149	0.874677450851173
JU1172	0.432757076891617	0.0704011008061447	0.0942845959716371	0.718408954082898	0.917777248803702	0.521720784673546
JU1200	0.555751355565333	0.192398038662137	0.114857531759639	0.863420497335009	0.9005881510552	0.764570321672152
JU1212	0.0969358054354823	0.192398038662137	0.100344867834792	0	0.433973865594073	0.318904556624028
JU1213	0.760308399285032	0.14307868202002	0	0	0.425833385618749	0.204925595293558
JU1242	0.672937694602116	0.267365584137908	0	0.602623839302873	0.731310709952924	0
JU1246	0.310742026875891	0.325643194571165	0	0	0.636561730236951	0.0941662806862872
JU1249	0.555751355565333	0.192398038662137	0.114857531759639	0.893548062099281	0.970374141661067	0.318904556624028
JU1395	0.819038690018511	0.16055297155018	0.155030582922884	0.713436313418303	0.967063924069124	0.58856942400659
JU1400	0.201080098368875	0	0.103728676861852	0.716275198819524	0.538605076203399	0.282794863880222
JU1409	0.425441268481414	0.233577402002981	0.0887497144140947	0.342210039760186	0.917619386761524	0.564747855705343
JU1440	0.7694071153433	0.14307868202002	0	0.418877967174748	0.807049766296167	0.712846353154598
JU1491	0.825002600059826	0.350623343523243	0	0	0.696775897684706	0.497974831255703
JU1530	0.437014537968207	0.14307868202002	0	0.778485240868164	0.844527393326976	0.26388493120175
JU1543	0.813979209211466	0.192398038662137	0.114857531759639	0.681195360638451	0.812385656585879	0.79553605644044
JU1568	0.555751355565333	0.192398038662137	0.114857531759639	0.528578423887395	0.86246944895323	0.330507572951986
JU1581	0	0.350623343523243	0	0	0.763049218376943	0
JU1586	0.555751355565333	0.202089787937593	0.207885769148297	0.568087966829763	0.806324252274655	0.747314937514097
JU1652	0.693688329053218	0.148178524396383	0	0.121925439510619	0.708882086729291	0.936404890086228
JU1666	0.760308399285032	0.213139413691911	0	0	0.643927699567843	0
JU1792	0.650349396935454	0.273013093542405	0.114857531759639	0.534977000743118	0.75076050134609	0.239648412815926
JU1793	0.687954591506542	0.350623343523243	0	0	0	0
JU1808	0.568425245143994	0.14307868202002	0	0.480895378539889	0.79898888787245	0.215452836021191
JU1896	0	0	0	0	0.857680424196764	0.797487869147738
JU1934	0.647559982401229	0.14307868202002	0.0848288868717074	0	0.731310709952924	0.239648412815926
JU2001	0.661404180975845	0.207544661503223	0.0767383588456742	0	0.478466582914212	0
JU2007	0.267104361655944	0.14307868202002	0.11045899688481	0.753952776476378	0.707519616609807	0.638138283640407
JU2016	0.432757076891617	0.0747272579581085	0.226343175235511	0.718408954082898	0.975033370867077	0.521720784673546
JU2017	0.172817066427662	0	0.0809479170292864	0.207426688062956	0.759163685599734	0.510800787027264
JU2106	0.659247873542647	0.134984900374282	0	0	0	0
JU2131	0.760308399285032	0.140583187165518	0.0767383588456742	0	0.593273381518934	0
JU2141	0.647559982401229	0.265908215142879	0	0	0.731310709952924	0.239648412815926
JU2234	0.432631437753108	0.162150939179898	0.481611046769976	0.0660926916879832	0.836117839033402	0.806826956666403
JU2250	0.680553098929505	0.267355765797497	0.0848288868717074	0	0.684240856478211	0
JU2257	0.555751355565333	0.192398038662137	0.114857531759639	0.0965935606428796	0.762183180316672	0.318904556624028
JU2316	0.268194627967777	0	0	0.106451937900719	0.0572557867981162	0.341684740261464
JU2464	0.770493200320888	0.281718688706964	0.343397853564127	0.592592168804665	0.89998807413577	0.506745254191939
JU2466	0.815840168432108	0.374133097815347	0.757293520293493	0.885851302042108	0.959763379358867	0.984100996636917
JU2478	0.541770234886783	0.14307868202002	0.314202271172191	0.626744439040513	0.971297989031079	0.227861752275251
JU2513	0.810293329889153	0.424853662545342	0	0.893548062099281	0.891617314822221	0.691254096841489
JU2519	0.585109764338011	0.14307868202002	0.0767383588456742	0.146372830594902	0.130376421464831	0
JU2522	0.549426058778542	0.350613525182832	0.0767383588456742	0.181581508781688	0.370478792317061	0.527089667279831
JU2526	0.234406925192147	0	0	0.0682983044323422	0.0572557867981162	0
JU2534	0.53740339541597	0.230784607800829	0.571527531358868	0.834554958186212	0.857326240397644	0.074706657735188
JU2565	0.704846916375505	0.192398038662137	0.114857531759639	0	0.810662584732307	0.318904556624028
JU2566	0.650349396935454	0.192398038662137	0.114857531759639	0.34552274972949	0.703690647871377	0.239648412815926
JU2570	0.840243231531561	0.350623343523243	0.0848288868717074	0	0.731310709952924	0
JU2572	0.640084221363552	0.14307868202002	0.114857531759639	0.822195471456876	0.794940799339432	0.239648412815926
JU2575	0.555751355565333	0.192398038662137	0.114857531759639	0.71513875216166	0.715979364902229	0.113763297969963
JU2576	0	0	0	0	0.756464417100636	0.243816040904094
JU2578	0.187539079712226	0.626312785750525	0.172305422022103	0.651498940760086	0.85773243820702	0.804481370559574
JU258	0	0	0.0796361964667209	0	0.360077379221888	0
JU2581	0.432562678034409	0	0.257473282177011	0.12190696023804	0.471829001307056	0.679962293076963
JU2586	0	0.275472195081784	0.503979553658118	0.47797799913874	0.428307307968441	0.619769288204745
JU2587	0.532030314540537	0	0.0873618619879236	0.344674019052416	0.657260672091897	0.623293709779122
JU2592	0.650349396935454	0	0.196401705353745	0.412995722935174	0.560643881720332	0.239648412815926
JU2593	0.338534691899714	0	0.257473282177011	0.134588032079331	0.749247449230063	0.381608777515714
JU2600	0.757834775041895	0.237328073495645	0	0	0.698746395299773	0
JU2610	0.718211190697314	0.237328073495645	0	0	0.698746395299773	0
JU2619	0	0.0747272579581085	0.268580782123624	0.893548062099281	0.770111581067858	0.592425557175525
JU2800	0.376350214220373	0.14307868202002	0.152062610376576	0	0.901912736200362	0.149115881870013
JU2811	0.36145543882406	0.160840452557419	0.0961051786926733	0	0.467512173721047	0.800701699341445
JU2825	0.555751355565333	0.192398038662137	0.100344867834792	0	0.677086774791309	0.318904556624028
JU2829	0.270710994738753	0	0.257473282177011	0.728999922936284	0.471829001307056	0.575191575587156
JU2838	0.598819496512933	0	0	0.716275198819524	0.27848032878985	0.130555392730377
JU2841	0.199928306710291	0	0	0.48315860313405	0.715694964172118	0.577064949853045
JU2853	0.333173225841628	0.15621830516986	0.667098251205019	0.84442924020497	0.810662584732307	0.671100048034369
JU2862	0.486779517116955	0.138243542101142	0.226343175235511	0.612260408078406	0.930853072873736	0.180025258420499
JU2866	0.366571135347068	0	0.226343175235511	0.628690312164116	0.845664277821868	0.120159221565387
JU2878	0.522317738792846	0.529667326480961	0.172694052880125	0.705088602390875	0.722229379869429	0.850624859033867
JU2879	0	0	0.435220633212332	0.450374085125828	0.34988057372507	0.16673307675097
JU2906	0.396623380122906	0.14307868202002	0.0878718942807053	0.751246907510898	0.844975355608676	0.464027871002251
JU2907	0.223476718364108	0.202089787937593	0.114857531759639	0.829196484040917	0.844975355608676	0.854141205232347
JU310	0.53130979764267	0.14307868202002	0.149310454477241	0.778485240868164	0.843300849322692	0.26388493120175
JU311	0.650349396935454	0.0743542264780873	0.114857531759639	0	0.857178819473547	0.215452836021191
JU3125	0.761207585258899	0.147462178279985	0	0.762673047946618	0.533898478805728	0.636422859209379
JU3127	0.85580562662902	0.147462178279985	0.0767383588456742	0.862919783422925	0.533898478805728	0.533309457326834
JU3128	0.40846412226062	0.35506084065547	0.189066572158819	0.777334434156378	0.844975355608676	0.275809607257764
JU3132	0.437014537968207	0.14307868202002	0	0	0.705932518766473	0.115179538194664
JU3134	0.205063781607983	0	0	0.298302429944248	0.85773243820702	0.914830309246238
JU3135	0	0.160325644241861	0.113615287921786	0.840814854680545	0.901912736200362	0.843733231594891
JU3137	0.721975320703359	0.350623343523243	0	0	0.763049218376943	0.701304946862332
JU3140	0.757366863828744	0.267365584137908	0.0848288868717074	0	0.671848159321883	0
JU3141	0.650349396935454	0.14307868202002	0.114857531759639	0	0.75076050134609	0.239648412815926
JU3144	0.322913094418974	0.272851221836827	0.107600578163363	0.626804625401974	0.567040982346368	0.585018856285076
JU3166	0.157606567110647	0.100836123323854	0	0.122579765951717	0.370478792317061	0
JU3167	0.0690729205444947	0	0.284134646185026	0	0	0.125294426511086
JU3169	0.0690729205444947	0	0.378091238882627	0.106451937900719	0.423830798328846	0.125294426511086
JU3224	0.372666989713453	0	0	0.487009157194705	0.451769553987046	0.75473778915634
JU3225	0.310969610925521	0.374133097815347	0.177067576134058	0.694234976136851	0.901912736200362	0.725137527039803
JU3226	0	0	0	0	0	0
JU3228	0.302317169334944	0.142945741690853	0.340565397197704	0.144471582340063	0.65664699298194	0.84965044916596
JU323	0.893932226943443	0.747967914449004	0.210941136100954	0.426263611800715	0.930853072873736	0
JU3280	0.872841046047707	0.528607207538967	0.0795910731623553	0.0755769637960156	0.567836183646814	0.763571233907272
JU3282	0.901392258199912	0.705680976854179	0	0.893548062099281	0.975033370867077	0.659255673968049
JU3291	0.757834775041895	0.237328073495645	0.0767383588456742	0	0.698746395299773	0
JU3318	0.447410927790946	0.223104047375194	0.786338374759501	0.764911213960627	0.773730721648892	0.70506541788602
JU346	0.123442345141797	0.14307868202002	0.177136028991248	0.228048640878108	0.716183637235326	0.199434339683289
JU360	0.338534691899714	0.14307868202002	0.170111420189088	0.912856327431656	0.70885220022616	0.516343036095123
JU367	0.555751355565333	0.192398038662137	0.114857531759639	0.597558058527575	0.974924218077599	0.318904556624028
JU3795	0.647559982401229	0.14307868202002	0.0848288868717074	0	0.729219037894074	0
JU393	0.739696611679024	0.14307868202002	0.0767383588456742	0	0.650117318893299	0.325819167825173
JU394	0.555751355565333	0.192398038662137	0.114857531759639	0	0.703690647871377	0.318904556624028
JU397	0.74215802377135	0.267365584137908	0.0920733346575353	0	0.731310709952924	0
JU4047	0	0.0790695826439495	0	0.691244423393203	0.241980766311014	0.532769310680266
JU406	0.650349396935454	0.192398038662137	0.114857531759639	0	0.715979364902229	0.318904556624028
JU4073	0.19599473311174	0	0.786338374759501	0.450374085125828	0.974905395328031	0.735406468681038
JU4082	0	0	0	0	0	0
JU4098	0.883232059869273	0.16055297155018	0	0.893548062099281	0.527948047295391	0.958515495178097
JU440	0.449232662114145	0.192398038662137	0.114857531759639	0.563617985263839	0.872482241717631	0.637675050713925
JU561	0.782181556055	0.131650461059447	0	0.40292417611193	0.969853857873393	0.646314347616358
JU642	0.0922964491644997	0.0976786105032286	0.699074218986541	0.511875793199891	0.844975355608676	0.496982802385839
JU751	0.362967422561192	0	0.257473282177011	0.11963852940919	0.678021925390069	0.58202701422181
JU774	0.759585692164465	0	0	0.727661520141578	0.555589757933693	0.62094716366257
JU775	0.442278705042112	0.263123013790645	0.0813435686931735	0.106451937900719	0.150982303262754	0
JU778	0.772925940406961	0.373318568294838	0	0	0.757823342987376	0.527089667279831
JU782	0.706806037395331	0.524881998275769	0.0767383588456742	0	0.478172076331278	0.302558809913218
JU792	0.647559982401229	0.267365584137908	0.0848288868717074	0	0.731310709952924	0
JU830	0.0823187900997421	0.160906693627393	0.257473282177011	0.471128825531238	0.856005247380261	0.384208257958452
JU847	0.899779856070511	0	0	0.128847157135548	0.849307222236325	0.111191996636126
KR314	0.479079225067351	0	0.0788136651795235	0.694924830838851	0.971463753754372	0.861729404431427
LKC34	0.993560811632817	0.563434235544997	0	0.0875895207763949	0.812826530402093	0.524436765119617
MY1	0.219997715531354	0.863541824919223	0.23073212963567	0.79469682636515	0.849480267005253	0.345954355264812
MY10	0.653104431610329	0.160319229592792	0.172997922133997	0.278594829247803	0.599733272538566	0.796037859169284
MY16	0.561732588277092	0	0	0	0.243223355152716	0.0701256042837667
MY18	0	0.0915386131437076	0	0.492997070835057	0.760056784355948	0.201861187789535
MY2147	0.123442345141797	0.14307868202002	0	0	0.750292135778598	0.133215918497208
MY2212	0.436804342959406	0	0.101520999084077	0.483381956323353	0.844975355608676	0.455582778419478
MY23	0	0	0	0	0	0
MY2453	0.476279987716169	0.142190056757208	0.0854474491218288	0	0.857178819473547	0.215452836021191
MY2530	0.775525270158992	0.0820889186871884	0.156783005320308	0.644525675690597	0.637724909107193	0.799231811514628
MY2535	0.320694996157487	0.14307868202002	0	0.834316157926953	0.844975355608676	0.661906881993459
MY2573	0.517486638480049	0.192398038662137	0	0.114777736973357	0.730201652474569	0.117696175445504
MY2585	0.315105282345922	0.14307868202002	0	0.876898695197443	0.87258665289844	0.828708627675138
MY2693	0.337964636664288	0.077331409113161	0.113615287921786	0.678078485189378	0.970630188529234	0.875651239536318
MY2713	0	0.077331409113161	0.113615287921786	0.893548062099281	0.969482479755965	0.875651239536318
MY2741	0.337964636664288	0.077331409113161	0.113615287921786	0.543517170819936	0.760547469010714	0.508249758839911
MY518	0.432757076891617	0	0	0.543517170819936	0.975033370867077	0.395518753676978
MY679	0.484201824110383	0.363849040790688	0.20733902389151	0.816324669491345	0.795714447873197	0.838411107109188
MY772	0.336819880266498	0.14307868202002	0	0.112232345901317	0.762217090002917	0
MY795	0.561732588277092	0	0	0.543517170819936	0.760547469010714	0.0701256042837667
MY920	0.775636506923991	0.224446541787413	0.155030582922884	0.644525675690597	0.764396936825009	0.689782627822189
N2	0.649279240850228	0.192398038662137	0.114857531759639	0.891486507585112	0.874255076514716	0.441642025475947
NIC1	0.555751355565333	0.350623343523243	0	0.791448650821444	0.703420471967274	0.694959677897538
NIC1049	0.286732407417793	0.192398038662137	0	0.505280752498864	0.730201652474569	0.117696175445504
